# kperp   gamma   kpar
1.000000e-02 0.000000e+00 0.000000e+00
8.842105e-02 3.967363e-02 8.842105e-02
1.668421e-01 8.019410e-02 8.842105e-02
2.452632e-01 1.246726e-01 1.668421e-01
3.236842e-01 1.649674e-01 2.452632e-01
4.021053e-01 2.064389e-01 2.452632e-01
4.805263e-01 2.383057e-01 3.236842e-01
5.589474e-01 2.635429e-01 3.236842e-01
6.373684e-01 2.775250e-01 4.021053e-01
7.157895e-01 2.846242e-01 4.021053e-01
7.942105e-01 2.835349e-01 4.805263e-01
8.726316e-01 2.805746e-01 4.805263e-01
9.510526e-01 2.743537e-01 4.805263e-01
1.029474e+00 2.669904e-01 4.805263e-01
1.107895e+00 2.597494e-01 4.805263e-01
1.186316e+00 2.531747e-01 4.805263e-01
1.264737e+00 2.473480e-01 4.805263e-01
1.343158e+00 2.421436e-01 4.805263e-01
1.421579e+00 2.374014e-01 4.805263e-01
1.500000e+00 2.330094e-01 4.805263e-01
